region,mean_weekly_income,median_weekly_income,mean_annual_income,median_annual_income
northland region,1044,1033,54437.19,53863.62
auckland region,1476,1323,76962.92,68985.06
waikato region,1270,1175,66221.48,61267.91
bay of plenty region,1403,1122,73156.49,58504.33
gisborne/hawke's bay region,1035,974,53967.90,50787.18
taranaki region,1236,1151,64448.62,60016.48
manawatū–whanganui region,1209,1080,63040.77,56314.33
wellington region,1649,1343,85983.64,70027.91
tasman / nelson / marlborough / west coast region,1125,1114,58660.76,58087.19
canterbury region,1322,1145,68932.91,59703.62
otago region,1141,1112,59495.05,57982.90
southland region,1053,891,54906.47,46459.32