area,dwell,nBedrms,nLodged,nClosed,nCurr,mean,lq,med,uq,sd,brr,lmean,lsd,slq,suq
Auckland Region,Apartment,1,4614,4503,8592,478,400,460,550,130,5.0,6.1331,0.28,382,557
Auckland Region,Apartment,2,4608,4326,9621,631,530,600,680,185,3.83,6.4123,0.2579,512,725
Auckland Region,Apartment,3,780,768,1809,830,640,720,890,366,3.78,6.6567,0.3401,619,979
Auckland Region,Apartment,4,96,93,228,900,695,809,983,343,3.66,6.748,0.3126,690,1052
Auckland Region,Apartment,5+,27,27,66,997,800,1000,1240,394,3.98,6.7775,0.6044,584,1320
Auckland Region,Apartment,NA,678,711,1236,485,379,450,560,165,3.86,6.132,0.3263,369,574
Auckland Region,Boarding House,1,912,726,672,330,270,330,380,83,3.12,5.7678,0.2618,268,382
Auckland Region,Boarding House,2,24,12,33,535,508,535,573,62,3.29,6.2762,0.1165,492,575
Auckland Region,Boarding House,5+,12,9,12,542,248,300,320,826,4.15,5.8273,0.827,194,593
Auckland Region,Boarding House,NA,69,57,51,355,265,325,425,121,3.19,5.8234,0.3043,275,415
Auckland Region,Flat,1,1269,1479,5079,431,380,425,475,102,3.63,6.0361,0.2672,349,501
Auckland Region,Flat,2,2271,2847,9750,541,495,540,580,103,3.73,6.2757,0.204,463,610
Auckland Region,Flat,3,306,444,1536,651,595,650,700,119,3.94,6.463,0.1803,568,724
Auckland Region,Flat,4,57,87,309,818,698,810,933,188,3.71,6.6802,0.2393,678,936
Auckland Region,Flat,5+,18,30,102,1069,950,1100,1163,331,3.94,6.9269,0.3292,816,1273
Auckland Region,Flat,NA,144,189,672,464,350,430,534,247,3.52,6.0599,0.395,328,559
Auckland Region,House,1,2439,1911,3810,427,320,420,500,131,3.78,6.013,0.2977,334,500
Auckland Region,House,2,7980,6006,19146,593,530,580,630,118,4.31,6.3672,0.1897,512,662
Auckland Region,House,3,13908,12030,44472,716,640,690,750,166,4.15,6.5535,0.1985,614,802
Auckland Region,House,4,6927,5643,20691,880,750,840,930,269,3.86,6.7506,0.2329,730,1000
Auckland Region,House,5+,2292,1776,6714,1077,890,1000,1200,354,3.87,6.9408,0.2961,846,1262
Auckland Region,House,NA,5268,5328,16239,709,560,675,820,264,3.88,6.5022,0.3616,522,851
Auckland Region,Room,1,2016,1728,2682,309,230,280,370,119,3.08,5.6714,0.34,231,365
Auckland Region,Room,2,15,6,15,509,460,500,550,80,3.88,6.2205,0.1577,452,559
Auckland Region,Room,3,6,3,3,406,273,343,475,320,4.0,5.7222,0.9376,162,575
Auckland Region,Room,4,6,6,3,473,265,298,720,384,3.09,5.8404,0.9305,184,644
Auckland Region,Room,NA,90,102,108,299,210,270,340,120,3.21,5.6301,0.3667,218,357
Bay of Plenty Region,Apartment,1,105,90,243,451,368,450,520,95,3.62,6.0898,0.2139,382,510
Bay of Plenty Region,Apartment,2,258,237,531,579,520,583,650,123,3.86,6.3386,0.2177,489,656
Bay of Plenty Region,Apartment,3,90,81,207,709,620,685,764,151,3.83,6.5422,0.2111,602,800
Bay of Plenty Region,Apartment,4,6,6,27,858,800,820,960,172,4.0,6.7378,0.205,735,969
Bay of Plenty Region,Apartment,NA,21,18,45,604,506,620,684,161,3.75,6.3665,0.2903,479,708
Bay of Plenty Region,Boarding House,1,48,42,39,272,190,250,280,139,3.44,5.5396,0.3307,204,318
Bay of Plenty Region,Flat,1,240,255,984,345,300,350,400,106,3.76,5.7761,0.4164,244,427
Bay of Plenty Region,Flat,2,285,345,1392,475,410,475,540,93,3.76,6.1431,0.2047,405,534
Bay of Plenty Region,Flat,3,42,72,189,566,480,560,650,130,3.73,6.3123,0.2343,471,646
Bay of Plenty Region,Flat,4,9,9,45,735,550,760,815,228,4.0,6.5524,0.3374,558,880
Bay of Plenty Region,Flat,NA,33,36,156,402,300,400,495,179,3.67,5.8791,0.5367,249,513
Bay of Plenty Region,House,1,201,159,471,418,350,400,495,158,3.74,5.9732,0.3723,306,505
Bay of Plenty Region,House,2,1284,1122,3630,523,460,530,585,113,6.94,6.2279,0.2882,417,615
Bay of Plenty Region,House,3,3156,2925,10287,635,580,650,700,121,3.83,6.4332,0.2212,536,722
Bay of Plenty Region,House,4,894,831,2952,746,650,750,810,155,3.84,6.591,0.2343,622,853
Bay of Plenty Region,House,5+,114,90,342,905,700,830,1000,305,3.66,6.7616,0.2963,708,1055
Bay of Plenty Region,House,NA,411,381,1470,645,523,650,723,199,3.85,6.4255,0.2998,504,756
Bay of Plenty Region,Room,1,51,57,120,275,200,220,300,130,3.06,5.5373,0.3803,197,328
Bay of Plenty Region,Room,NA,6,6,6,273,243,260,290,79,3.99,5.5771,0.2836,218,320
Canterbury Region,Apartment,1,495,480,876,407,350,400,450,97,3.61,5.983,0.232,339,464
Canterbury Region,Apartment,2,807,753,1728,482,420,480,520,99,3.75,6.1582,0.2025,412,542
Canterbury Region,Apartment,3,150,156,369,602,520,580,625,196,3.66,6.3657,0.2437,493,685
Canterbury Region,Apartment,4,24,12,57,659,568,650,735,120,3.88,6.4753,0.1834,573,734
Canterbury Region,Apartment,5+,9,9,21,720,643,720,783,154,4.0,6.5583,0.2157,610,815
Canterbury Region,Apartment,NA,42,42,90,541,405,450,583,256,3.3,6.2097,0.3951,381,649
Canterbury Region,Boarding House,1,534,459,507,220,185,230,250,48,3.22,5.3726,0.2175,186,249
Canterbury Region,Boarding House,NA,39,36,30,252,218,230,250,162,3.31,5.4426,0.3569,182,294
Canterbury Region,Flat,1,378,414,1557,324,290,320,350,84,3.65,5.7405,0.3017,254,381
Canterbury Region,Flat,2,918,1245,4287,414,375,410,450,79,3.77,6.0044,0.2191,350,470
Canterbury Region,Flat,3,120,186,708,515,464,500,560,96,3.83,6.2251,0.2056,440,580
Canterbury Region,Flat,4,27,36,114,590,550,590,640,126,3.6,6.3559,0.231,493,673
Canterbury Region,Flat,5+,15,12,30,791,678,750,843,293,3.72,6.6071,0.3852,571,960
Canterbury Region,Flat,NA,30,48,171,381,305,380,458,96,3.65,5.9096,0.2628,309,440
Canterbury Region,House,1,528,396,1008,378,320,400,450,99,3.79,5.8915,0.3103,294,446
Canterbury Region,House,2,3948,2907,8922,485,440,490,525,104,3.82,6.1667,0.1883,420,541
Canterbury Region,House,3,5460,4863,16260,563,500,560,610,123,3.76,6.3117,0.2187,475,639
Canterbury Region,House,4,2277,1893,5955,669,600,650,720,159,3.8,6.4759,0.2687,542,778
Canterbury Region,House,5+,795,714,1530,898,750,870,1050,256,7.27,6.7584,0.3067,700,1059
Canterbury Region,House,NA,1440,1245,3675,554,456,540,640,182,3.82,6.2609,0.3527,413,664
Canterbury Region,Room,1,909,972,1569,226,180,220,260,67,3.21,5.3837,0.2675,182,261
Canterbury Region,Room,NA,60,42,75,222,170,220,240,64,3.15,5.3664,0.2629,179,256
Gisborne Region,Apartment,1,21,24,27,464,375,475,525,92,3.82,6.121,0.1945,399,519
Gisborne Region,Apartment,2,21,15,54,553,455,500,550,167,3.55,6.2811,0.2565,449,635
Gisborne Region,Boarding House,1,12,12,18,270,238,285,299,62,4.0,5.5711,0.2521,222,311
Gisborne Region,Flat,1,27,36,132,397,323,410,500,111,3.8,5.9421,0.3064,310,468
Gisborne Region,Flat,2,39,57,240,490,450,480,525,89,3.99,6.1797,0.1762,429,544
Gisborne Region,Flat,3,6,6,36,577,488,550,683,137,4.0,6.3328,0.2395,479,661
Gisborne Region,Flat,NA,42,21,48,417,350,435,460,69,3.91,6.019,0.1719,366,462
Gisborne Region,House,1,27,24,66,442,365,425,500,99,3.8,6.0663,0.2253,370,502
Gisborne Region,House,2,111,105,408,535,480,550,600,102,3.71,6.2607,0.2264,449,610
Gisborne Region,House,3,276,291,1137,634,550,650,700,146,3.76,6.4161,0.2988,500,748
Gisborne Region,House,4,84,78,285,760,660,710,850,210,3.8,6.5879,0.3307,581,908
Gisborne Region,House,5+,9,6,36,754,725,800,920,276,2.86,6.5179,0.5878,456,1007
Gisborne Region,House,NA,81,51,195,601,480,593,700,205,3.78,6.3453,0.3354,454,714
Gisborne Region,Room,1,33,39,66,219,200,200,215,43,3.99,5.3751,0.1738,192,243
Gisborne Region,Room,NA,6,3,6,234,200,200,244,58,3.76,5.4337,0.222,197,266
Hawke's Bay Region,Apartment,1,54,39,117,424,368,445,485,96,4.22,6.018,0.2786,340,496
Hawke's Bay Region,Apartment,2,69,63,186,527,450,500,625,113,3.7,6.2452,0.215,446,596
Hawke's Bay Region,Apartment,3,15,21,48,637,560,650,750,123,3.83,6.4371,0.2162,540,723
Hawke's Bay Region,Apartment,NA,9,3,12,493,325,370,575,255,2.96,6.1035,0.4567,329,609
Hawke's Bay Region,Boarding House,1,15,12,9,294,180,270,310,185,1.67,5.5669,0.4591,192,357
Hawke's Bay Region,Flat,1,84,90,381,364,300,365,400,93,3.47,5.8611,0.2801,291,424
Hawke's Bay Region,Flat,2,237,291,1131,454,410,460,500,82,3.59,6.0981,0.2137,385,514
Hawke's Bay Region,Flat,3,18,24,114,522,465,500,565,68,3.27,6.2499,0.1282,475,565
Hawke's Bay Region,Flat,NA,9,18,60,372,345,350,410,79,3.3,5.8979,0.2132,315,421
Hawke's Bay Region,House,1,69,60,168,399,350,400,450,105,3.5,5.9467,0.3075,311,471
Hawke's Bay Region,House,2,558,486,1662,520,450,510,560,231,3.7,6.2246,0.2142,437,584
Hawke's Bay Region,House,3,1200,1134,4362,619,550,620,680,129,3.69,6.4088,0.2026,530,696
Hawke's Bay Region,House,4,315,276,906,728,650,720,800,170,3.83,6.5639,0.2372,604,832
Hawke's Bay Region,House,5+,45,39,117,789,650,790,900,275,3.64,6.5883,0.4634,532,993
Hawke's Bay Region,House,NA,126,144,546,577,470,560,680,210,3.68,6.2713,0.469,386,726
Hawke's Bay Region,Room,1,60,39,78,256,220,225,260,80,2.16,5.5094,0.258,208,294
Manawatu-Wanganui Region,Apartment,1,159,165,243,342,300,325,375,72,3.74,5.8161,0.1902,295,382
Manawatu-Wanganui Region,Apartment,2,132,111,273,421,370,420,490,77,3.88,6.025,0.1915,364,471
Manawatu-Wanganui Region,Apartment,3,30,30,48,501,390,465,643,124,4.02,6.1872,0.2508,411,576
Manawatu-Wanganui Region,Apartment,NA,12,15,24,346,280,298,360,113,3.87,5.8076,0.2792,276,402
Manawatu-Wanganui Region,Boarding House,1,114,75,93,296,250,305,310,89,3.63,5.6528,0.2692,238,342
Manawatu-Wanganui Region,Boarding House,4,6,0,6,631,619,638,650,24,4.0,6.4472,0.0382,615,647
Manawatu-Wanganui Region,Boarding House,NA,18,6,15,328,310,310,310,80,4.06,5.7752,0.1832,285,365
Manawatu-Wanganui Region,Flat,1,189,198,849,320,220,300,350,299,3.47,5.6606,0.379,223,371
Manawatu-Wanganui Region,Flat,2,288,372,1323,411,380,410,450,54,3.82,6.0097,0.1338,372,446
Manawatu-Wanganui Region,Flat,3,18,39,141,447,390,450,500,88,3.92,6.0811,0.22,377,507
Manawatu-Wanganui Region,Flat,NA,12,27,93,261,148,240,313,146,3.87,5.4305,0.5458,158,330
Manawatu-Wanganui Region,House,1,153,120,342,338,300,340,380,80,3.82,5.7928,0.2529,277,389
Manawatu-Wanganui Region,House,2,1053,930,2991,443,400,440,480,71,3.82,6.0799,0.1673,390,489
Manawatu-Wanganui Region,House,3,2469,2196,7170,537,490,550,590,90,3.86,6.2706,0.1818,468,598
Manawatu-Wanganui Region,House,4,765,642,2154,621,550,620,695,112,3.82,6.4122,0.2108,528,702
Manawatu-Wanganui Region,House,5+,183,165,450,710,603,700,800,166,3.86,6.5327,0.2856,567,833
Manawatu-Wanganui Region,House,NA,339,366,1095,483,350,480,590,168,3.82,6.1172,0.3694,354,582
Manawatu-Wanganui Region,Room,1,312,312,420,244,205,205,310,71,3.5,5.4561,0.2966,192,286
Manawatu-Wanganui Region,Room,NA,33,33,21,252,205,255,300,49,3.6,5.5128,0.1944,217,283
Marlborough Region,Apartment,1,9,15,24,303,200,300,340,101,3.09,5.663,0.3297,231,360
Marlborough Region,Apartment,2,18,21,48,384,245,450,460,149,3.34,5.8578,0.4792,253,483
Marlborough Region,Apartment,3,6,3,12,616,515,545,640,169,2.89,6.3966,0.2365,511,704
Marlborough Region,Flat,1,27,39,99,296,280,300,330,88,3.6,5.6224,0.4329,207,370
Marlborough Region,Flat,2,75,84,321,401,380,420,450,102,3.82,5.9527,0.3185,310,477
Marlborough Region,Flat,3,6,9,36,563,525,590,600,44,3.88,6.3303,0.0799,532,592
Marlborough Region,House,1,15,9,54,340,338,350,400,114,3.56,5.7299,0.5396,214,443
Marlborough Region,House,2,201,177,516,458,430,470,500,86,3.84,6.0983,0.2868,367,540
Marlborough Region,House,3,396,372,1284,562,520,560,600,119,3.71,6.3027,0.2702,455,655
Marlborough Region,House,4,99,81,294,633,580,650,700,126,3.76,6.4226,0.2647,515,736
Marlborough Region,House,5+,18,15,39,762,650,700,835,271,3.44,6.5848,0.326,581,902
Marlborough Region,House,NA,27,27,126,555,423,540,690,155,3.54,6.2814,0.281,442,646
NA,Apartment,1,231,174,351,463,408,480,525,89,3.67,6.1173,0.2167,392,525
NA,Apartment,2,144,135,309,569,523,595,635,152,3.82,6.2811,0.4308,400,715
NA,Apartment,3,27,24,69,669,595,680,725,135,3.82,6.485,0.21,569,755
NA,Apartment,4,12,9,15,809,665,785,948,154,3.92,6.6798,0.188,701,904
NA,Apartment,NA,21,15,42,542,395,575,650,166,3.71,6.2517,0.3087,421,639
NA,Boarding House,1,18,15,24,375,250,410,463,146,3.15,5.8476,0.4191,261,460
NA,Boarding House,2,15,9,9,527,500,520,550,25,3.46,6.2659,0.0475,510,543
NA,Flat,1,123,114,435,383,254,400,480,129,3.3,5.8854,0.3627,282,459
NA,Flat,2,126,141,516,518,488,530,560,102,3.63,6.2249,0.2513,426,598
NA,Flat,3,12,12,72,656,515,650,780,163,3.87,6.4576,0.2493,539,754
NA,Flat,NA,9,18,63,374,305,335,445,125,2.8,5.8728,0.3482,281,449
NA,House,1,198,132,363,450,393,485,520,118,3.75,6.0628,0.3367,342,539
NA,House,2,675,438,1581,565,500,570,635,113,3.88,6.3132,0.2321,472,645
NA,House,3,1257,891,3903,642,575,650,720,152,3.88,6.4339,0.2595,523,742
NA,House,4,1029,627,2379,755,640,733,850,211,3.88,6.5952,0.2507,618,866
NA,House,5+,234,153,600,1075,875,1050,1200,366,3.84,6.9288,0.3224,822,1269
NA,House,NA,501,438,1515,671,550,650,760,213,3.89,6.4568,0.3349,508,798
NA,Room,1,81,69,183,329,228,265,413,148,2.88,5.7076,0.4134,228,398
